Parcella;superficie;VAE;Habitat;AR2;ARM;CRR;CV;ELEVMAX;ELEVMEAN;ELEVMIN;P10;P25;P50;P75;P80;P99;R1C;R2C;R3C;R4C;KURTO;SKEWN;LFCC;RMH;P99P75;P75P50;P50P25;STD;FCC;IQ;FR2;FRM;TR;TRANMINHT
AD4088;452,3893421;398,5;PNM;100;61,9454;0,53434;0,4103;24,6454;14,7132;3,3162;4,7199;11,3298;16,5698;19,1712;19,7644;23,7786;433;136;17;0;2,0856;-0,6364;73,89078;0,67233;4,6074;2,6014;5,24;6,0368;100;7,8415;100;78,291;586;586
AD4094;452,3893421;244,0;PNM;100;51,1714;0,36585;0,3984;16,9988;8,8169;4,0966;4,8247;5,1927;9,0056;11,7734;12,3737;15,9658;569;217;24;1;1,6856;0,2424;70,1603;0,52978;4,1924;2,7678;3,8129;3,5126;100;6,5807;100;68,3656;811;811
AD4095;452,3893421;304,0;PNM;100;54,2169;0,37794;0,472;17,871;8,7811;3,2584;3,8965;4,2678;9,5026;12,5315;12,9125;15,9466;514;143;7;0;1,4851;0,0473;77,40964;0,53173;3,4151;3,0289;5,2348;4,1443;100;8,2637;100;68,4825;664;664
AD4096;452,3893421;292,1;PRX;100;64,4444;0,51091;0,3301;25,2456;16,2061;6,7633;7,6025;12,0361;17,7815;20,1622;20,4361;24,4966;426;110;4;0;2,0199;-0,5965;78,88889;0,70434;4,3344;2,3807;5,7454;5,3491;100;8,1261;100;80,2817;540;540
AD4097;452,3893421;332,1;PRX;100;65,6598;0,50491;0,4184;20,5609;12,7769;4,8385;5,1839;5,7545;15,0726;17,0375;17,4038;19,9973;417;200;12;0;1,5428;-0,4963;66,29571;0,73307;2,9598;1,9649;9,3181;5,3464;100;11,283;100;95,6835;629;629
AD4104;452,3893421;272,9;PNX;100;43,9098;0,30742;0,5161;23,1082;10,18;4,4414;4,9564;5,2292;7,8521;15,1149;15,8973;21,2458;483;165;17;0;1,7122;0,4809;72,63158;0,3398;6,1309;7,2628;2,6229;5,2539;100;9,8856;100;55,6936;665;665
AD4105;452,3893421;394,5;PNM;100;55,5556;0,46814;0,453;19,3447;10,5015;2,7177;3,5936;5,9919;11,5632;14,4861;15,0944;18,3928;443;154;23;1;1,6892;-0,1995;71,33655;0,59775;3,9067;2,9229;5,5713;4,7572;100;8,4941;100;74,2664;621;621
AD4106;452,3893421;207,9;PNM;100;49,6364;0,42287;0,2852;24,681;15,4212;8,6364;10,4407;11,0443;15,3445;19,5864;20,049;23,6636;416;125;9;0;1,4878;0,1608;75,63636;0,62171;4,0772;4,2419;4,3002;4,3983;100;8,542;100;63,2212;550;550
AD4107;452,3893421;156,2;PNX;100;53,5971;0,40937;0,2886;23,5878;14,2112;7,7122;8,9475;10,1739;14,5642;17,4425;18,0385;22,2218;420;132;4;0;1,8195;0,1184;75,53957;0,61745;4,7793;2,8783;4,3903;4,1014;100;7,2686;100;68,0952;556;556
AD4109;452,3893421;457,9;PRM;64,9867;37,931;0,78638;0,1637;24,1948;19,456;2,0117;16,1161;18,2391;20,1405;21,4457;21,6164;23,77;229;16;0;0;13,8172;-2,5682;60,74271;0,83243;2,3243;1,3052;1,9014;3,1849;63,4349;3,2065;85,4478;53,3582;377;245
