Parcella;superficie;VAE;Habitat;AR2;ARM;CRR;CV;ELEVMAX;ELEVMEAN;ELEVMIN;P10;P25;P50;P75;P80;P99;R1C;R2C;R3C;R4C;KURTO;SKEWN;LFCC;RMH;P99P75;P75P50;P50P25;STD;FCC;IQ;FR2;FRM;TR;TRANMINHT
AD6171;530,9291585;288,4;PRM;100;58,1781;0,52447;0,3205;17,4136;11,2268;4,4033;5,4064;8,1665;12,1703;14,2379;14,4957;16,708;386;93;4;0;1,957;-0,4968;79,91718;0,6989;2,4701;2,0676;4,0038;3,5985;100;6,0714;100;72,5389;483;483
AD6172;452,3893421;362,9;PRX;100;62,6911;0,61882;0,2749;22,563;16,2038;5,88;8,8486;13,1137;17,7461;19,656;20,1408;22,1485;276;50;1;0;2,2659;-0,7289;84,40367;0,78651;2,4925;1,9099;4,6324;4,4546;100;6,5423;100;73,5507;327;327
AD6173;452,3893421;315,1;PRM;100;68,652;0,56725;0,4056;22,3114;14,6287;4,558;5,2193;6,8088;17,6102;19,0321;19,2858;21,3208;443;185;10;0;1,7876;-0,7453;69,43574;0,78929;2,2887;1,4219;10,8014;5,9331;100;12,2233;100;95,9368;638;638
AD6174;452,3893421;389,2;PRM;100;64,521;0,51076;0,3819;21,5726;13,5935;5,2634;5,6377;6,6499;15,7907;17,6105;17,9762;20,6232;464;190;14;0;1,7075;-0,5637;69,46108;0,73198;3,0127;1,8198;9,1408;5,1916;100;10,9606;100;90,0862;668;668
AD6175;452,3893421;178,0;PRX;100;52,6882;0,45296;0,2657;20,0487;13,2927;7,6987;8,6254;9,5074;13,6123;16,4697;16,8329;19,8829;484;158;9;0;1,6431;-0,0156;74,34716;0,67896;3,4132;2,8574;4,1049;3,5325;100;6,9623;100;68,3884;651;651
AD6176;452,3893421;221,6;PNX;100;54,6042;0,41685;0,299;22,1318;13,6419;7,573;8,2692;8,7439;14,3386;16,7407;17,2519;21,6899;441;163;15;0;1,8267;0,0123;71,24394;0,64787;4,9492;2,4021;5,5947;4,0792;100;7,9968;100;71,4286;619;619
AD6177;452,3893421;382,6;PRM;100;68,2336;0,58036;0,3328;24,5585;17,3178;7,304;7,9724;8,6711;19,8834;21,6259;21,8802;24,1173;484;195;23;0;1,9815;-0,8162;68,94587;0,80963;2,4914;1,7425;11,2123;5,7633;100;12,9548;100;94,0083;702;702
AD6178;530,9291585;229,7;PRX;100;60,7963;0,53492;0,3767;23,2688;14,3617;4,1172;6,0334;8,8494;16,2388;18,8458;19,2299;22,3951;468;161;24;0;1,7648;-0,4989;71,66922;0,69788;3,5493;2,607;7,3894;5,4101;100;9,9965;100;78,6325;653;653
AD6179;452,3893421;135,7;BMQ;100;49,4565;0,46749;0,2608;20,1229;12,7516;6,2804;8,1764;9,9377;12,7022;15,4846;15,9129;19,3553;407;141;4;0;2,0543;0,0273;73,73188;0,63123;3,8707;2,7824;2,7645;3,3253;100;5,5469;100;66,3391;552;552
AD6180;452,3893421;35,7;BMQ;100;46,2366;0,40812;0,2557;20,3406;12,516;7,1206;8,3122;9,9234;12,1229;15,2541;16,0661;19,41;306;64;2;0;2,0593;0,2647;82,25806;0,596;4,1559;3,1312;2,1995;3,1998;100;5,3307;100;52,2876;372;372
