"","row","center.X","center.Y","TR","Elev.minim","Elev.maxim","Elev.mean","Elev.mode","Elev.stdde","Elev.varia","CV","IQ","Elev.skewn","Elev.kurto","Elev.AAD","Elev.L1","Elev.L2","Elev.L3","Elev.L4","Elev.L.CV","Elev.L.ske","Elev.L.kur","Elev.P01","Elev.P05","Elev.P10","Elev.P20","Elev.P25","Elev.P30","Elev.P40","Elev.P50","Elev.P60","Elev.P70","Elev.P75","Elev.P80","Elev.P90","Elev.P95","Elev.P99","Return.1.c","Return.2.c","Return.3.c","Return.4.c","Percentage","Percenta_1","X.All.retur","First.retu","All.return","Percenta_2","Percenta_3","Percenta_4","Percenta_5","X.All.ret_1","X.All.ret_2","First.re_1","First.re_2","All.retu_1","All.retu_2","Total.firs","Canopy.rel","Elev.quadr","Elev.cubic","Profile.ar","Habitat"
"327",12,531800,22740,648,3.0314,12.1961,6.5795,7.3955,1.9493,3.7997,0.2963,2.8125,0.2183,2.3457,1.6024,6.5795,1.1154,0.0502,0.0853,0.1695,0.045,0.0764,3.1541,3.5449,3.9426,4.7933,5.1306,5.3298,5.96,6.4903,7.0658,7.5616,7.9431,8.3195,9.3746,9.922,10.8377,583,64,1,0,76.8116,59.0702,85.3755,583,648,40.8432,28.9855,28.6235,20.237,41.3702,29.249,310,220,314,222,759,0.3871,6.8617,7.1225,38.1563,"RMR"
"328",11,531180,22720,1506,3.0198,20.2778,7.4704,3.8416,3.408,11.6146,0.4562,5.4929,0.7206,3.0278,2.8398,7.4704,1.9058,0.3014,0.08,0.2551,0.1582,0.042,3.0733,3.2807,3.5836,4.0237,4.3685,4.8252,5.8533,6.93,8.0846,9.2178,9.8614,10.6848,12.1655,13.0827,16.3481,1364,139,3,0,63.9775,50.4185,70.6379,1364,1506,29.6904,54.9719,22.4305,42.5176,31.4259,59.5685,633,1172,670,1270,2132,0.2579,8.2106,8.9024,26.0822,"RMR"
"329",11,531200,22720,299,3.0511,15.2385,6.3162,3.0511,2.4681,6.0914,0.3908,2.8983,1.1533,4.4511,1.8951,6.3162,1.3334,0.2719,0.1848,0.2111,0.2039,0.1386,3.0794,3.237,3.6043,4.1061,4.6011,4.7769,5.3263,5.9211,6.4159,7.1611,7.4994,8.1197,9.472,10.6757,14.0401,280,19,0,0,53.0303,44.6936,56.6288,280,299,22.9167,52.8409,18.6846,44.5441,23.6742,56.4394,121,279,125,298,528,0.2679,6.7797,7.2703,23.2182,"RMR"
"330",11,531420,22720,222,3.0048,13.056,7.3914,8.1102,2.4631,6.067,0.3332,4.0422,0.1773,2.1165,2.0828,7.3914,1.4175,0.0547,0.055,0.1918,0.0386,0.0388,3.1294,3.8021,4.1265,4.8709,5.3205,5.7266,6.4997,7.4079,8.1629,8.8838,9.3628,9.6776,10.6717,11.1841,12.8686,208,14,0,0,59.2593,50.8009,63.2479,208,222,31.339,25.9259,25.4005,20.8238,31.6239,25.9259,110,91,111,91,351,0.4364,7.7893,8.1451,31.0991,"RMR"
"331",11,531560,22720,806,3.0084,18.8394,6.6108,4.0136,2.7934,7.8032,0.4226,3.843,1.1052,4.0171,2.1947,6.6108,1.5142,0.3383,0.1757,0.229,0.2234,0.1161,3.0491,3.2629,3.668,4.1563,4.3485,4.7036,5.3894,6.0582,6.783,7.4938,8.1915,8.5724,10.6974,12.5352,14.9299,787,19,0,0,70.2052,62.7237,71.9001,787,806,29.7948,59.1436,25.9922,52.2957,29.7948,59.9465,334,663,334,672,1121,0.2276,7.1761,7.7614,30.9677,"RMR"
"332",11,531580,22720,697,3.0044,12.079,6.217,3.4365,1.8755,3.5175,0.3017,3.158,0.065,2.1378,1.5891,6.217,1.0774,0.0025,0.0338,0.1733,0.0023,0.0313,3.0381,3.3111,3.5493,4.2657,4.6412,4.9735,5.7262,6.3153,6.8826,7.4425,7.7992,8.0024,8.5969,9.1309,9.939,649,47,1,0,78.0987,65.879,83.8748,649,697,42.7196,74.0072,33.7429,61.1531,42.9603,77.858,355,615,357,647,831,0.354,6.4933,6.7404,44.0437,"RMR"
"333",11,531600,22720,641,3.004,9.8109,5.5946,5.273,1.3353,1.7831,0.2387,1.9442,0.0072,2.5165,1.0958,5.5946,0.7612,-0.0155,0.0615,0.1361,-0.0204,0.0808,3.0891,3.3218,3.6409,4.3262,4.6593,4.9403,5.2877,5.6031,6.0419,6.4246,6.6035,6.7798,7.209,7.6456,8.5251,611,30,0,0,80.8201,67.2613,84.7884,611,641,42.9894,51.3228,34.1028,40.7135,42.9894,51.3228,325,388,325,388,756,0.3806,5.7516,5.8965,48.6559,"RMR"
"334",11,531620,22720,510,3.0178,10.4576,5.8144,6.4425,1.6117,2.5975,0.2772,2.1461,0.5508,3.0354,1.2862,5.8144,0.9041,0.0852,0.1065,0.1555,0.0943,0.1178,3.0636,3.45,3.7202,4.3608,4.6082,4.8082,5.2881,5.7354,6.1627,6.4945,6.7544,6.9822,7.8487,8.9368,9.9744,498,12,0,0,67.5712,56.1674,69.1995,498,510,33.3786,22.6594,27.2026,18.5022,33.5142,22.7951,246,167,247,168,737,0.3759,6.0332,6.2496,36.1107,"RMR"
"335",11,531640,22720,628,3.0032,11.0494,6.7126,7.8564,2.0529,4.2142,0.3058,3.4131,-0.0667,1.9462,1.757,6.7126,1.1833,-0.0265,0.0275,0.1763,-0.0224,0.0232,3.0572,3.3885,3.8301,4.5333,4.9472,5.4434,6.1298,6.8504,7.4966,8.1201,8.3603,8.7042,9.3907,9.7755,10.7353,555,73,0,0,78.3898,65.3486,88.7006,555,628,45.904,31.0734,33.923,22.8928,46.0452,31.0734,325,220,326,220,708,0.461,7.019,7.2849,43.6454,"RMR"
"336",11,531660,22720,703,3.0051,14.53,8.9617,9.9566,2.8048,7.8669,0.313,4.2946,-0.3447,2.2143,2.3235,8.9617,1.6028,-0.1407,0.0939,0.1788,-0.0878,0.0586,3.1351,3.7588,4.693,6.3298,7.0152,7.6018,8.5269,9.1845,10.0037,10.8402,11.3098,11.7383,12.3212,12.9515,13.7821,603,100,0,0,82.2647,69.3978,95.9072,603,703,50.7503,39.5634,37.4136,28.6278,51.7053,39.5634,372,290,379,290,733,0.5168,9.3898,9.7376,45.927,"RMR"
"337",11,531680,22720,407,3.0007,16.4078,10.5795,11.0875,3.3767,11.4019,0.3192,4.8063,-0.5062,2.4373,2.7233,10.5795,1.9101,-0.233,0.1698,0.1805,-0.122,0.0889,3.1096,4.0325,5.3871,7.3923,8.4117,9.3316,10.3631,11.1024,11.807,12.656,13.218,13.6791,14.6996,15.4284,16.0984,372,35,0,0,49.3369,45.885,53.9788,372,407,29.1777,26.2599,25.7046,22.9989,30.2387,27.0557,220,198,228,204,754,0.5653,11.104,11.5121,31.2744,"RMR"
"338",11,531700,22720,645,3.0067,15.6049,8.7944,9.2058,3.0394,9.2382,0.3456,4.5815,-0.1405,2.0712,2.5469,8.7944,1.7459,-0.0729,0.082,0.1985,-0.0418,0.047,3.0909,3.6988,4.3973,5.5289,6.5482,7.0565,8.201,9.0952,9.8231,10.6984,11.1296,11.6105,12.5818,13.5294,14.4634,572,72,1,0,75.6614,64.9547,85.3175,572,645,44.4444,40.6085,35.146,31.7221,46.164,41.6667,336,307,349,315,756,0.4594,9.304,9.7244,39.9244,"RMR"
"339",11,531740,22720,47,3.2092,13.2978,8.6373,8.6538,2.9619,8.773,0.3429,3.587,-0.4144,2.1066,2.3377,8.6373,1.6894,-0.1796,0.0996,0.1956,-0.1063,0.0589,3.2733,3.3795,3.8424,5.4913,7.4541,7.8987,8.4244,8.6945,9.4555,10.5675,11.0411,11.6042,12.2796,12.4551,12.9579,37,10,0,0,4.9598,6.0256,6.3003,37,47,3.0831,3.0831,3.3333,3.3333,3.4853,3.4853,23,23,26,26,746,0.538,9.1208,9.4961,4.5798,"RMR"
"340",11,531760,22720,427,3.076,13.7502,7.8289,6.8035,2.6029,6.7753,0.3325,3.5784,0.0627,2.3815,2.1405,7.8289,1.4863,2e-04,0.124,0.1899,1e-04,0.0834,3.2045,3.4717,4.045,5.5009,6.0717,6.4407,7.1625,7.7869,8.699,9.3803,9.6501,10.0119,10.9181,12.541,13.508,365,62,0,0,48.0263,42.7,56.1842,365,427,26.8421,34.2105,21.2,28,27.8947,36.8421,204,260,212,280,760,0.4453,8.2493,8.6165,26.827,"RMR"
"341",11,531780,22720,811,3.0312,16.0692,8.6538,8.6189,2.6165,6.846,0.3024,3.5303,-0.0876,2.5957,2.103,8.6538,1.4858,-0.0528,0.1543,0.1717,-0.0355,0.1039,3.1675,4.1187,4.8252,6.3426,7.0018,7.4531,8.1697,8.7291,9.4457,10.1957,10.5321,10.9205,11.833,12.702,14.9667,701,108,2,0,90.1028,71.961,104.2416,701,811,53.4704,54.2416,37.622,38.1544,54.4987,55.2699,416,422,424,430,778,0.4312,9.0402,9.3751,44.6883,"RMR"
"342",11,531800,22720,803,3.1233,14.8139,10.0446,11.2882,2.8863,8.3308,0.2873,3.5546,-0.7002,2.6688,2.3244,10.0446,1.6088,-0.2711,0.1697,0.1602,-0.1685,0.1055,3.2419,4.1566,5.2927,7.6264,8.5923,9.0781,10.0385,10.7489,11.1723,11.6797,12.1469,12.5165,13.4582,13.9478,14.3547,695,107,1,0,89.3316,71.8247,103.2134,695,803,60.9254,39.3316,43.0233,27.4597,61.8252,39.4602,474,306,481,307,778,0.592,10.4506,10.7646,50.4141,"RMR"
"343",11,531820,22720,779,3.0132,17.941,9.6669,11.7803,3.1675,10.0331,0.3277,4.3676,-0.0196,2.4776,2.5787,9.6669,1.8045,-0.0341,0.1758,0.1867,-0.0189,0.0974,3.3453,4.2569,5.2165,6.7217,7.4742,8.0622,8.9812,9.8081,10.765,11.501,11.8418,12.1705,13.5873,15.0877,16.3985,668,111,0,0,89.1856,74.1905,104.0053,668,779,51.9359,26.3017,38.6667,19.4286,54.2056,27.2363,389,197,406,204,749,0.4457,10.172,10.6069,44.4808,"RMR"
"344",11,531840,22720,786,3.1635,19.1385,12.4747,15.5885,3.2978,10.8754,0.2644,4.4735,-0.7153,2.8974,2.6796,12.4747,1.8371,-0.3089,0.1858,0.1473,-0.1681,0.1011,3.694,6.1371,7.4246,9.7551,10.4935,11.1322,12.2156,13.2225,13.9162,14.6293,14.967,15.3536,16.0713,16.5697,18.0473,669,115,2,0,90.7734,78.0536,106.6486,669,786,60.787,18.0461,45.4816,13.3069,62.1438,18.1818,448,133,458,134,737,0.5829,12.9027,13.2423,54.1663,"RMR"
"345",10,531160,22700,782,3.0101,20.358,6.5507,4.3869,3.5277,12.4444,0.5385,3.2108,1.9284,6.5265,2.4577,6.5507,1.7163,0.6184,0.3836,0.262,0.3603,0.2235,3.0772,3.2082,3.4972,4.035,4.2556,4.496,4.874,5.5237,6.25,7.0174,7.4665,7.9397,10.4665,15.727,18.9588,712,68,2,0,74.7114,63.1664,82.0567,712,782,27.8069,55.9286,22.6979,45.7189,29.4858,59.3914,265,533,281,566,953,0.2041,7.4391,8.4804,24.1049,"RMR"
